Id;Márka;Típus;Évjárat;Üzem;Hengerûrtartalom;Teljesítmény(le);Futott km;Ár
125;STILO;1.6 16V ACTUAL;2004;Benzin;1596;102;272213;667000
126;WAGON;R+ 1.0 GL;2003;Benzin;993;53;138445;667000
127;PANDA;1.1 Active MAGYARORSZÁGI. 1. TUL;2004;Benzin;1108;54;156880;677000
128;IGNIS;1.3 GS AC;2003;Benzin;1328;94;142241;677000
129;LAGUNA;2.0 Dynamique FRISS MÛSZAKI VIZSGA;2002;Benzin;1998;140;268336;695000
130;XSARA;PICASSO 1.8 SX PLUS;2001;Benzin;1749;116;229115;697000
131;YARIS;1.0 LINEA SOL;2002;Benzin;998;68;145938;697000
132;A 160; CDI Clssic;2000;Dízel;1689;60;192092;745000
133;GOLF;IV 1.4 Euro Ocean;2003;Benzin;1390;75;187823;745000
134;WAGON;R+ R PLUSZ 1.3 GLX KLÍMA;2002;Benzin;1298;75;90010;767000
135;CORDOBA;1.4 STELLA;2002;Benzin;1390;60;295785;787000
136;MONDEO;TURNIER 2.0 TDCI;2002;Dízel;1998;116;157049;789000
137;POLO;III 1.4 75 PD TDI COMFORTLINE;2000;Dízel;1422;75;353120;797000
138;CORSA;C 1.3 CDTI;2005;Dízel;1248;68;200819;847000
139;IGNIS;1.3 GC;2006;Benzin;1328;94;175691;847000
140;POLO;IV 1.2 65 12V MAGYARORSZÁGI SZ.KÖNYV!;2003;Benzin;1198;64;123963;847000
141;FIESTA;1.4 TDCi Fresh Plus MO-I. SZERVIZKÖNYV;2008;Dízel;1399;68;300385;875000
142;MONDEO;2.0 TDCi Trend;2004;Dízel;1998;116;220908;897000
143;C3;1.4 HDi Exclusive KLÍMA;2007;Dízel;1398;68;119715;925000
144;ASTRA;G CARAVAN 1.4 16V CLASSIC II;2005;Benzin;1364;90;174544;937000
145;POLO;IV 1.4 16V COMFORTLINE KLÍMA;2004;Benzin;1390;75;249575;947000
146;VECTRA;C 1.9 CDTI Design MAGYARORSZÁGI!;2005;Dízel;1910;150;193930;1049000
147;FUSION;1.4 TDCi Fresh MAGYARORSZÁGI;2007;Dízel;1399;68;171478;1075000
148;MONDEO;2.0 TDCi Trend MAGYARORSZÁGI!;2007;Dízel;1998;131;258325;1127000
149;OCTAVIA;1.9 TDi Tour;2005;Dízel;1896;90;398724;1149000
150;GRANDE;PUNTO 1.3 JTD ACTIVE;2007;Dízel;1248;75;188091;1197000
151;POLO;IV 1.2 65 12V SUN MAGYARORSZÁGI;2006;Benzin;1198;64;139928;1197000
152;Fabia;1.9 SDI;2006;Dízel;1900;64;330000;450000
153;Fabia;1.9 SDI;2005;Dízel;1900;64;490000;450000
